Fold1 eğitimine 50 epoch ile başlanıyor
Epoch [39/50], Train Loss: 0.0052, Train Acc: 0.9986, Test Loss: 0.2649, Test Acc: 0.9627
Epoch [40/50], Train Loss: 0.0012, Train Acc: 0.9995, Test Loss: 0.3917, Test Acc: 0.9580
Epoch [41/50], Train Loss: 0.0055, Train Acc: 0.9983, Test Loss: 0.3695, Test Acc: 0.9600
Epoch [42/50], Train Loss: 0.0030, Train Acc: 0.9987, Test Loss: 0.3382, Test Acc: 0.9607
Epoch [43/50], Train Loss: 0.0025, Train Acc: 0.9991, Test Loss: 0.2327, Test Acc: 0.9693
Epoch [44/50], Train Loss: 0.0012, Train Acc: 0.9994, Test Loss: 0.2903, Test Acc: 0.9680
Epoch [45/50], Train Loss: 0.0004, Train Acc: 0.9999, Test Loss: 0.3163, Test Acc: 0.9687
Epoch [46/50], Train Loss: 0.0056, Train Acc: 0.9985, Test Loss: 0.1712, Test Acc: 0.9727
Epoch [47/50], Train Loss: 0.0022, Train Acc: 0.9991, Test Loss: 0.3100, Test Acc: 0.9613
Epoch [48/50], Train Loss: 0.0036, Train Acc: 0.9989, Test Loss: 0.4992, Test Acc: 0.9460
Epoch [49/50], Train Loss: 0.0037, Train Acc: 0.9988, Test Loss: 0.2926, Test Acc: 0.9593
Epoch [50/50], Train Loss: 0.0037, Train Acc: 0.9989, Test Loss: 0.2537, Test Acc: 0.9607
Fold2 değerlendirmesi yapılıyor
Accuracy: 0.9727
Precision: 0.9863
Recall: 0.9587
F1 Score: 0.9723



Fold3 eğitimine 50 epoch ile başlanıyor
Epoch [1/50], Train Loss: 0.2427, Train Acc: 0.8957, Test Loss: 0.1692, Test Acc: 0.9427
Epoch [2/50], Train Loss: 0.0673, Train Acc: 0.9751, Test Loss: 0.1888, Test Acc: 0.9407
Epoch [3/50], Train Loss: 0.0377, Train Acc: 0.9868, Test Loss: 0.1385, Test Acc: 0.9653
Epoch [4/50], Train Loss: 0.0265, Train Acc: 0.9909, Test Loss: 0.1927, Test Acc: 0.9573
Epoch [5/50], Train Loss: 0.0184, Train Acc: 0.9940, Test Loss: 0.1717, Test Acc: 0.9633
Epoch [6/50], Train Loss: 0.0173, Train Acc: 0.9942, Test Loss: 0.1987, Test Acc: 0.9560
Epoch [7/50], Train Loss: 0.0155, Train Acc: 0.9953, Test Loss: 0.1593, Test Acc: 0.9547
Epoch [8/50], Train Loss: 0.0116, Train Acc: 0.9963, Test Loss: 0.1344, Test Acc: 0.9687
Epoch [9/50], Train Loss: 0.0127, Train Acc: 0.9958, Test Loss: 0.2581, Test Acc: 0.9533
Epoch [10/50], Train Loss: 0.0097, Train Acc: 0.9965, Test Loss: 0.1922, Test Acc: 0.9607
Epoch [11/50], Train Loss: 0.0100, Train Acc: 0.9967, Test Loss: 0.1494, Test Acc: 0.9693
Epoch [12/50], Train Loss: 0.0071, Train Acc: 0.9981, Test Loss: 0.1982, Test Acc: 0.9647
Epoch [13/50], Train Loss: 0.0070, Train Acc: 0.9977, Test Loss: 0.1884, Test Acc: 0.9607
Epoch [14/50], Train Loss: 0.0111, Train Acc: 0.9967, Test Loss: 0.1456, Test Acc: 0.9687
Epoch [15/50], Train Loss: 0.0078, Train Acc: 0.9977, Test Loss: 0.2114, Test Acc: 0.9587
Epoch [16/50], Train Loss: 0.0049, Train Acc: 0.9981, Test Loss: 0.2109, Test Acc: 0.9640
Epoch [17/50], Train Loss: 0.0072, Train Acc: 0.9981, Test Loss: 0.2109, Test Acc: 0.9633
Epoch [18/50], Train Loss: 0.0041, Train Acc: 0.9989, Test Loss: 0.1679, Test Acc: 0.9680
Epoch [19/50], Train Loss: 0.0073, Train Acc: 0.9977, Test Loss: 0.2010, Test Acc: 0.9640
Epoch [20/50], Train Loss: 0.0070, Train Acc: 0.9977, Test Loss: 0.2327, Test Acc: 0.9647
Epoch [21/50], Train Loss: 0.0043, Train Acc: 0.9985, Test Loss: 0.2788, Test Acc: 0.9607
